세부항목,규제내용,컴플라이언스,매핑ID,매핑여부(직접매핑/해당없음),감사가능,감사방법(AWS 콘솔/CLI),권장해결(요약),,,,
2.10.1.2,보안시스템 관리자 등 접근이 허용된 인원을 최소화하고 비인가자의 접근을 엄격하게 통제하고 있는가?,ISMS-P,1.0-01;1.0-02,직접매핑,,,,,,,
2.10.2.3,"클라우드 서비스 관리자 권한은 역할에 따라 최소화하여 부여하고 관리자 권한에 대한 비인가된 접근, 권한 오남용 등을 방지할 수 있도록 강화된 인증, 암호화, 접근통제, 감사기록 등 보호대책을 적용하고 있는가?",ISMS-P,1.0-01;1.0-06;2.0-09,직접매핑,,,,,,,
2.5.1.2,정보시스템과 개인정보 및 중요정보에 접근할 수 있는 사용자 계정 및 접근권한 생성∙등록∙변경 시 직무별 접근권한 분류 체계에 따라 업무상 필요한 최소한의 권한만을 부여하고 있는가?,ISMS-P,1.0-01;1.0-02;11.0-02,직접매핑,,,,,,,
7.5.3 Control of documented information,"Documented information required by the information security management system and by this document shall be controlled to ensure: a) it is available and suitable for use, where and when it is needed; and b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity). For the control of documented information, the organization shall address the following activities, as applicable: c) distribution, access, retrieval and use; d) storage and preservation, including the preservation of legibility; e) control of changes (e.g. version control); and f) retention and disposition. Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled. NOTE Access can imply a decision regarding the permission to view the documented information only, or the permission and authority to view and change the documented information, etc.",iso-27001,1.0-01;1.0-02;11.0-02,직접매핑,,,2.7.1.1,"개인정보 및 주요정보의 보호를 위하여 법적 요구사항을 반영한 암호화 대상, 암호강도, 암호사용 등이 포함된 암호정책을 수립하고 있는가?",ISMS-P,2.0-01;2.0-02;2.0-03;2.0-04;2.0-05;2.0-06;2.0-10;2.0-11;2.0-12;2.0-13;2.0-14;2.0-15;2.0-16,직접매핑
2.7.1.2,"암호정책에 따라 개인정보 및 주요정보의 저장, 전송, 전달 시 암호화를 수행하고 있는가?",ISMS-P,2.0-01;2.0-09;2.0-15,직접매핑,,,,,,,
3.2.4.1,개인정보는 최초 수집 시 정보주체로부터 동의받은 목적 또는 법령에 근거한 범위 내에서만 이용∙제공하고 있는가?,ISMS-P,해당없음,해당없음,가능,접근/반출 이벤트 CloudTrail Lake(3.0-11) 분석,정책 위반 탐지·차단,,,,
3.2.4.2,개인정보처리자로부터 개인정보를 제공받은 경우 제공받은 목적의 범위 내에서만 이용∙제공하고 있는가?,ISMS-P,해당없음,해당없음,가능,S3 Access Logs/CloudTrail 분석,권한 모델로 최소권한 유지,,,,
3.2.4.3,개인정보를 수집 목적 또는 개인정보처리자로부터 제공받은 목적의 범위를 초과하여 이용하거나 제공하는 경우 정보주체에게 별도의 동의를 받거나 법적 근거가 있는 경우로 제한하고 있는가?,ISMS-P,해당없음,해당없음,가능,변경/승인 워크플로 기록 감사,정책·동의 재수집,,,,
3.4.2.3,분리 보관하고 있는 개인정보에 대하여 법령에서 정한 목적 범위 내에서만 처리 가능하도록 관리하고 있는가?,ISMS-P,11.0-02,직접매핑,,,,,,,
2.8.4.2,"불가피하게 운영데이터를 시험 환경에서 사용할 경우 책임자 승인, 접근 및 유출 모니터링, 시험 후 데이터 삭제 등의 통제 절차를 수립∙이행하고 있는가?",ISMS-P,11.0-03;3.0-01,직접매핑,,,,,,,
2.9.4.3,개인정보처리시스템에 대한 접속기록은 법적 요구사항을 준수할 수 있도록 필요한 항목을 모두 포함하여 일정기간 안전하게 보관하고 있는가?,ISMS-P,3.0-01;3.0-04;3.0-11,직접매핑,,,,,,,
2.11.3.1,"내∙외부에 의한 침해시도, 개인정보 유출 시도, 부정행위 등 이상행위를 탐지할 수 있도록 주요 정보시스템, 응용프로그램, 네트워크, 보안시스템 등에서 발생한 네트워크 트래픽, 데이터 흐름, 이벤트 로그 등을 수집하여 분석 및 모니터링하고 있는가?",ISMS-P,7.0-02;7.0-04;3.0-11,직접매핑,,,,,,,
2.9.4.1,"서버, 응용프로그램, 보안시스템, 네트워크시스템 등 정보시스템에 대한 로그관리 절차를 수립하고 이에 따라 필요한 로그를 생성하여 보관하고 있는가?",ISMS-P,3.0-01;3.0-04;3.0-07;3.0-08,직접매핑,,,,,,,
3.4.1.2,개인정보의 처리목적이 달성되거나 보유기간이 경과한 경우 지체 없이 해당 개인정보를 파기하고 있는가?,ISMS-P,4.0-01;4.0-03,직접매핑,,,,,,,
3.4.2.1,"개인정보의 보유기간 경과 또는 처리목적 달성 후에도 관련 법령 등에 따라 파기하지 아니하고 보존하는 경우, 관련 법령에 따른 최소한의 기간으로 한정하여 최소한의 정보만을 보존하도록 관리하고 있는가?",ISMS-P,4.0-01;4.0-04,직접매핑,,,,,,,
3.5.2.3,정보주체 또는 그 대리인이 개인정보 수집∙이용∙제공 등의 동의를 철회하는 경우 지체 없이 수집된 개인정보를 파기하는 등 필요한 조치를 취하고 있는가?,ISMS-P,4.0-01;4.0-03;4.0-02,직접매핑,,,,,,,
2.7.2.1,"암호키 생성, 이용, 보관, 배포, 변경, 복구, 파기 등에 관한 절차를 수립∙이행하고 있는가?",ISMS-P,2.0-16;10.0-04,직접매핑,,,,,,,
2.6.3.5,"개인정보 및 중요정보의 불필요한 노출(조회, 화면표시, 인쇄, 다운로드 등)을 최소화할 수 있도록 응용프로그램을 구현하여 운영하고 있는가?",ISMS-P,12.0-05;8.0-03,직접매핑,,,,,,,
2.6.4.1,데이터베이스의 테이블 목록 등 저장∙관리되고 있는 정보를 식별하고 있는가?,ISMS-P,5.0-06;5.0-05,직접매핑,,,,,,,
2.9.4.2,"정보시스템의 로그기록은 위∙변조 및 도난, 분실되지 않도록 안전하게 보관하고 로그기록에 대한 접근권한은 최소화하여 부여하고 있는가?",ISMS-P,3.0-10;2.0-01,직접매핑,,,,,,,
3.2.5.2,개인정보를 가명처리하여 이용∙제공 시 추가 정보의 사용∙결합 없이는 개인을 알아볼 수 없도록 적정한 수준으로 가명처리를 수행하고 있는가?,ISMS-P,11.0-03,직접매핑,,,,,,,
2.8.5.3,소스 프로그램에 대한 변경이력을 관리하고 있는가?,ISMS-P,16.0-01;16.0-02,직접매핑,,,,,,,
2.8.6.1,신규 도입∙개발 및 변경된 시스템을 운영환경으로 안전하게 이관하기 위한 통제 절차를 수립∙이행하고 있는가?,ISMS-P,16.0-02;16.0-05,직접매핑,,,,,,,
2.8.3.1,정보시스템의 개발 및 시험 시스템을 운영시스템과 분리하고 있는가?,ISMS-P,11.0-01;11.0-02,직접매핑,,,,,,,
3.4.2.4,분리 보관하고 있는 개인정보에 대하여 접근권한을 최소한의 인원으로 제한하고 있는가?,ISMS-P,1.0-01;13.0-02,직접매핑,,,,,,,
3.4.1.3,개인정보를 파기할 때에는 복구∙재생되지 않도록 안전한 방법으로 파기하고 있는가?,ISMS-P,4.0-02;9.0-07,직접매핑,,,,,,,
2.9.2.4,장애 발생 시 절차에 따라 조치하고 장애조치보고서 등을 통해 장애조치내역을 기록하여 관리하고 있는가?,ISMS-P,3.0-01;3.0-04,직접매핑,,,,,,,
2.9.5.1,"정보시스템 관련 오류, 오∙남용(비인가접속, 과다조회 등), 부정행위 등 이상징후를 인지할 수 있도록 로그 검토 주기, 대상, 방법 등을 포함한 로그 검토 및 모니터링 절차를 수립∙이행하고 있는가?",ISMS-P,7.0-01;7.0-02;7.0-04,직접매핑,,,,,,,
2.5.2.1,정보시스템 및 개인정보처리시스템에서 사용자 및 개인정보취급자를 유일하게 구분할 수 있는 식별자를 할당하고 추측 가능한 식별자의 사용을 제한하고 있는가?,ISMS-P,1.0-01;1.0-03,직접매핑,,,,,,,
2.5.6.1,정보시스템과 개인정보 및 중요정보에 대한 사용자 계정 및 접근권한 생성∙등록∙부여∙이용∙변경∙말소 등의 이력을 남기고 있는가?,ISMS-P,3.0-01;3.0-02,직접매핑,,,,,,,
2.9.6.2,시간 동기화가 정상적으로 이루어지고 있는지 주기적으로 점검하고 있는가?,ISMS-P,해당없음,해당없음,가능,SSM State Manager로 정기 점검,비정상 CloudWatch 경보,,,,
2.10.2.4,"클라우드 서비스의 보안 설정 변경, 운영 현황 등을 모니터링하고 그 적절성을 정기적으로 검토하고 있는가?",ISMS-P,7.0-01;3.0-03,직접매핑,,,,,,,
2.11.3.2,"침해시도, 개인정보유출시도, 부정행위 등의 여부를 판단하기 위한 기준 및 임계치를 정의하고 이에 따라 이상행위의 판단 및 조사 등 후속 조치가 적시에 이루어지고 있는가?",ISMS-P,7.0-01;7.0-03,직접매핑,,,,,,,
2.6.4.2,"데이터베이스 내 정보에 접근이 필요한 응용프로그램, 정보시스템(서버) 및 사용자를 명확히 식별하고 접근통제 정책에 따라 통제하고 있는가?",ISMS-P,13.0-02;8.0-01,직접매핑,,,,,,,
2.9.6.1,정보시스템의 시간을 표준시간으로 동기화하고 있는가?,ISMS-P,해당없음,해당없음,가능,SSM RunCommand/Inventory로 chrony 상태 수집,"AMI 표준에 chrony 설정, Config 커스텀 룰",,,,
3.2.2.1,개인정보를 최신의 상태로 정확하게 유지하기 위한 절차 및 방안을 수립∙이행하고 있는가?,ISMS-P,5.0-02;5.0-01,직접매핑,,,,,,,
2.8.4.1,정보시스템의 개발 및 시험 과정에서 실제 운영 데이터의 사용을 제한하고 있는가?,ISMS-P,11.0-03;4.0-05,직접매핑,,,,,,,
2.8.2.2,정보시스템이 안전한 코딩 기준 등에 따라 안전하게 개발되었는지를 확인하기 위한 취약점 점검이 수행되고 있는가?,ISMS-P,6.0-04;7.0-01,직접매핑,,,,,,,
3.2.5.1,"가명정보를 처리하는 경우 목적 제한, 가명처리 방법 및 기준, 적정성 검토, 재식별 금지 및 재식별 발생 시 조치사항 등 가명정보를 적정하게 처리하기 위한 절차를 수립하고 있는가?",ISMS-P,11.0-03;5.0-05,직접매핑,,,,,,,
3.2.5.5,"가명정보 처리목적 등을 고려하여 가명정보의 처리 기간을 적정한 기간으로 정하고 있으며, 해당 기간이 경과한 경우 지체 없이 파기하고 있는가?",ISMS-P,4.0-01;4.0-02;4.0-03,직접매핑,,,,,,,
3.4.1.1,개인정보의 보유기간 및 파기와 관련된 내부 정책을 수립하고 있는가?,ISMS-P,4.0-01;4.0-02;4.0-04,직접매핑,,,,,,,
3.4.1.4,개인정보 파기에 대한 기록을 남기고 관리하고 있는가?,ISMS-P,3.0-01,직접매핑,,,,,,,
3.4.2.2,개인정보의 보유기간 경과 또는 처리목적 달성 후에도 관련 법령 등에 따라 파기하지 아니하고 보존하는 경우 해당 개인정보 또는 개인정보파일을 다른 개인정보와 분리하여 저장∙관리하고 있는가?,ISMS-P,12.0-05;11.0-01,직접매핑,,,,,,,
2.6.1.3,네트워크 대역별 IP주소 부여 기준을 마련하고 DB서버 등 외부 연결이 필요하지 않은 경우 사설 IP로 할당하는 등의 대책을 적용하고 있는가?,ISMS-P,8.0-01;8.0-07,직접매핑,,,,,,,
2.10.8.4,"주요 서버, 네트워크시스템, 보안시스템 등의 경우 공개 인터넷 접속을 통한 패치를 제한하고 있는가?",ISMS-P,8.0-01;8.0-07,직접매핑,,,,,,,
2.6.3.1,중요정보 접근을 통제하기 위하여 사용자의 업무에 따라 응용프로그램 접근권한을 차등 부여하고 있는가?,ISMS-P,8.0-03;11.0-02,직접매핑,,,,,,,
2.7.2.2,암호키는 필요시 복구가 가능하도록 별도의 안전한 장소에 보관하고 암호키 사용에 관한 접근권한을 최소화하고 있는가?,ISMS-P,2.0-16;10.0-01,직접매핑,,,,,,,
MEASURE 2.10,Privacy risk of the AI system – as identified in the MAP function – is examined and documented.,nist-ai-rmf,11.0-03;2.0-01;2.0-15,직접매핑,,,,,,,
GOVERN 1.7,Processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization’s trustworthiness.,nist-ai-rmf,4.0-01;4.0-02;11.0-02;9.0-07,직접매핑,,,,,,,
Article 21 Cooperation with competent authorities,"21.1 Providers of high-risk AI systems shall, upon a reasoned request by a competent authority, provide that authority all the information and documentation necessary to demonstrate the conformity of the high-risk AI system with the requirements set out in Section 2, in a language which can be easily understood by the authority in one of the official languages of the institutions of the Union as indicated by the Member State concerned.",eu-ai-act,3.0-01;3.0-11,직접매핑,,,,,,,
Article 12 Record-keeping,12.1 High-risk AI systems shall technically allow for the automatic recording of events (logs) over the lifetime of the system.,eu-ai-act,3.0-01;3.0-11,직접매핑,,,,,,,
Article 12 Record-keeping,"12.2 In order to ensure a level of traceability of the functioning of a high-risk AI system that is appropriate to the intended purpose of the system, logging capabilities shall enable the recording of events relevant for:
(a) identifying situations that may result in the high-risk AI system presenting a risk within the meaning of Article 79(1) or in a substantial modification;
(b) facilitating the post-market monitoring referred to in Article 72; and
(c) monitoring the operation of high-risk AI systems referred to in Article 26(5).",eu-ai-act,3.0-11;7.0-02,직접매핑,,,,,,,
Article 12 Record-keeping,"12.3 For high-risk AI systems referred to in point 1 (a), of Annex III, the logging capabilities shall provide, at a minimum:

(a) recording of the period of each use of the system (start date and time and end date and time of each use);

(b) the reference database against which input data has been checked by the system;

(c) the input data for which the search has led to a match;

(d) the identification of the natural persons involved in the verification of the results, as referred to in Article 14(5).",eu-ai-act,3.0-11,직접매핑,,,,,,,
Article 10 Data and data governance,"10.1 High-risk AI systems which make use of techniques involving the training of AI models with data shall be developed on the basis of training, validation and testing data sets that meet the quality criteria referred to in paragraphs 2 to 5 whenever such data sets are used.",eu-ai-act,5.0-01;5.0-02;5.0-03;5.0-04,직접매핑,,,,,,,
Article 10 Data and data governance,"10.3. Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible, free of errors and complete in view of the intended purpose. They shall have the appropriate statistical properties, including, where applicable, as regards the persons or groups of persons in relation to whom the high risk AI system is intended to be used. 
Those characteristics of the data sets may be met at the level of individual data sets or at the level of a combination thereof. ",eu-ai-act,5.0-01;5.0-02,직접매핑,,,,,,,
"Article 15 Accuracy, robustness and cybersecurity","15.4 High-risk AI systems shall be as resilient as possible regarding errors, faults or inconsistencies that may occur within the system or the environment in which the system operates, in particular due to their interaction with natural persons or other systems. Technical and organisational measures shall be taken in this regard. The robustness of high-risk AI systems may be achieved through technical redundancy solutions, which may include backup or fail-safe plans. High-risk AI systems that continue to learn after being placed on the market or put into service shall be developed in such a way as to eliminate or reduce as far as possible the risk of possibly biased outputs influencing input for future operations (feedback loops), and as to ensure that any such feedback loops are duly addressed with appropriate mitigation measures.",eu-ai-act,9.0-01;9.0-02;9.0-03;7.0-03,직접매핑,,,,,,,
"Article 15 Accuracy, robustness and cybersecurity","15.5 High-risk AI systems shall be resilient against attempts by unauthorised third parties to alter their use, outputs or performance by exploiting system vulnerabilities. The technical solutions aiming to ensure the cybersecurity of high-risk AI systems shall be appropriate to the relevant circumstances and the risks. The technical solutions to address AI specific vulnerabilities shall include, where appropriate, measures to prevent, detect, respond to, resolve and control for attacks trying to manipulate the training data set (data poisoning), or pre-trained components used in training (model poisoning), inputs designed to cause the AI model to make a mistake (adversarial examples or model evasion), confidentiality attacks or model flaws.",eu-ai-act,7.0-02;6.0-04;2.0-01;2.0-15,직접매핑,,,,,,,
